name,district_id,district,description
North Valley Unified,NVU-001,North Valley,Primary district covering northern suburbs and rural townships
Eastside Cooperative,ESC-002,Eastside,Regional cooperative of charter-aligned campuses
Harbor View Schools,HVS-003,Harbor View,Coastal district with marine science programs
Summit Ridge Regional,SRR-004,Summit Ridge,Mountain community district grades K-12
Lakefront Public Schools,LPS-005,Lakefront,Urban district with bilingual immersion tracks
Cedar Grove ISD,CGI-006,Cedar Grove,Historic district founded 1952 serving midtown
Prairie Hills Unified,PHU-007,Prairie Hills,Agricultural community district west of I-5
Riverside Academy District,RAD-008,Riverside,Magnet-focused district for arts and STEM
Pinewood Metropolitan,PMD-009,Pinewood,Large metro district with twelve sites
Willow Creek Education,WCE-010,Willow Creek,Growing exurban district with transport hub
